Time	Open	High	Low	Close
2024.05.17 00:00:00	0.8576	0.85796	0.85538	0.85566
2024.05.19 00:00:00	0.85527	0.85584	0.85486	0.85563
2024.05.20 00:00:00	0.85562	0.85671	0.85407	0.85442
2024.05.21 00:00:00	0.85441	0.85503	0.85328	0.85389
2024.05.22 00:00:00	0.85392	0.85405	0.85029	0.85092
2024.05.23 00:00:00	0.85093	0.85265	0.84991	0.85172
2024.05.24 00:00:00	0.85171	0.85312	0.85113	0.85145
2024.05.26 00:00:00	0.8509	0.85171	0.85029	0.85171
2024.05.27 00:00:00	0.85172	0.85194	0.84959	0.85032
2024.05.28 00:00:00	0.85033	0.8517	0.84946	0.85047
2024.05.29 00:00:00	0.85048	0.85161	0.84833	0.85056
2024.05.30 00:00:00	0.85055	0.85165	0.8501	0.85084
2024.05.31 00:00:00	0.85085	0.85397	0.85003	0.85132
2024.06.02 00:00:00	0.85076	0.85157	0.85071	0.85149
2024.06.03 00:00:00	0.8515	0.85346	0.8509	0.8514
2024.06.04 00:00:00	0.85142	0.85239	0.85044	0.85189
2024.06.05 00:00:00	0.85188	0.85197	0.8497	0.84989
2024.06.06 00:00:00	0.8499	0.85239	0.84982	0.85133
2024.06.07 00:00:00	0.85134	0.85195	0.84885	0.84907
2024.06.09 00:00:00	0.84507	0.84691	0.84483	0.84676
2024.06.10 00:00:00	0.84677	0.8471	0.84392	0.84571
2024.06.11 00:00:00	0.8457	0.84671	0.84173	0.84295
2024.06.12 00:00:00	0.84297	0.8451	0.84173	0.84492
2024.06.13 00:00:00	0.84491	0.84572	0.84095	0.84183
2024.06.14 00:00:00	0.84181	0.84401	0.83967	0.8437
2024.06.16 00:00:00	0.84248	0.84415	0.84248	0.84376
2024.06.17 00:00:00	0.84375	0.84606	0.8436	0.84467
2024.06.18 00:00:00	0.84466	0.84637	0.84433	0.84502
2024.06.19 00:00:00	0.84501	0.84539	0.84293	0.8448
2024.06.20 00:00:00	0.84479	0.84602	0.84338	0.84558
2024.06.21 00:00:00	0.84556	0.84645	0.8442	0.84559
2024.06.23 00:00:00	0.84518	0.84591	0.8446	0.8456
2024.06.24 00:00:00	0.84561	0.84771	0.84515	0.84618
2024.06.25 00:00:00	0.84617	0.84623	0.84301	0.84423
2024.06.26 00:00:00	0.84422	0.84628	0.84325	0.84611
2024.06.27 00:00:00	0.84612	0.84747	0.84528	0.84678
2024.06.28 00:00:00	0.84675	0.84811	0.84571	0.84715
2024.06.30 00:00:00	0.84762	0.84886	0.84761	0.84864
2024.07.01 00:00:00	0.84863	0.84982	0.84722	0.84899
2024.07.02 00:00:00	0.84901	0.84948	0.84655	0.84705
2024.07.03 00:00:00	0.84704	0.84775	0.84578	0.84646
2024.07.04 00:00:00	0.84647	0.84746	0.84598	0.84746
2024.07.05 00:00:00	0.84745	0.84775	0.8451	0.84578
2024.07.07 00:00:00	0.84306	0.8453	0.84303	0.84528
2024.07.08 00:00:00	0.84529	0.84594	0.84386	0.84506
2024.07.09 00:00:00	0.84505	0.84592	0.84415	0.84558
2024.07.10 00:00:00	0.84559	0.84585	0.84247	0.84273
2024.07.11 00:00:00	0.84272	0.84318	0.84118	0.84133
2024.07.12 00:00:00	0.84134	0.8421	0.83911	0.83962
2024.07.14 00:00:00	0.8385	0.83955	0.83846	0.8394
2024.07.15 00:00:00	0.83941	0.8411	0.83903	0.84023
2024.07.16 00:00:00	0.84021	0.84098	0.83968	0.84
2024.07.17 00:00:00	0.83999	0.84104	0.83824	0.84095
2024.07.18 00:00:00	0.84093	0.84215	0.84027	0.8417
2024.07.19 00:00:00	0.84171	0.84321	0.84124	0.84269
2024.07.21 00:00:00	0.84221	0.84367	0.84169	0.84267
2024.07.22 00:00:00	0.84269	0.84307	0.8413	0.84201
2024.07.23 00:00:00	0.84202	0.84258	0.83968	0.84092
2024.07.24 00:00:00	0.84093	0.84171	0.83929	0.84021
2024.07.25 00:00:00	0.8402	0.84404	0.84019	0.84404
2024.07.26 00:00:00	0.84403	0.84485	0.84273	0.84364
2024.07.28 00:00:00	0.84318	0.84361	0.84298	0.84341
2024.07.29 00:00:00	0.8434	0.84599	0.84092	0.84124
2024.07.30 00:00:00	0.84125	0.84287	0.84123	0.84242
2024.07.31 00:00:00	0.84243	0.8448	0.84165	0.84206
2024.08.01 00:00:00	0.84205	0.8474	0.84205	0.84738
2024.08.02 00:00:00	0.8474	0.85341	0.8474	0.85203
2024.08.04 00:00:00	0.85153	0.85315	0.85139	0.85313
2024.08.05 00:00:00	0.85314	0.86188	0.85314	0.85623
2024.08.06 00:00:00	0.85626	0.86153	0.85612	0.8613
2024.08.07 00:00:00	0.86131	0.86226	0.85753	0.86155
2024.08.08 00:00:00	0.86154	0.86239	0.85593	0.85629
2024.08.09 00:00:00	0.85628	0.85779	0.85491	0.85554
2024.08.11 00:00:00	0.85462	0.85596	0.85449	0.85592
2024.08.12 00:00:00	0.85591	0.85679	0.85432	0.85626
2024.08.13 00:00:00	0.85625	0.85633	0.85304	0.8546
2024.08.14 00:00:00	0.85461	0.85916	0.85437	0.85854
2024.08.15 00:00:00	0.85858	0.85863	0.8532	0.85322
2024.08.16 00:00:00	0.8532	0.85342	0.85102	0.85181
2024.08.18 00:00:00	0.85149	0.8519	0.85079	0.85148
2024.08.19 00:00:00	0.85147	0.85336	0.85078	0.85335
2024.08.20 00:00:00	0.85333	0.85391	0.85147	0.85368
